CPT_CODE,CPT_LONG_DESCRIPTION,CPT_SHORT_DESCRIPTION
00100,"ANESTHESIA FOR PROCEDURES ON SALIVARY GLANDS, INCLUDING BIOPSY","ANESTH, SALIVARY GLAND"
00102,ANESTHESIA FOR PROCEDURES ON PLASTIC REPAIR OF CLEFT LIP,"ANESTH, REPAIR OF CLEFT LIP"
00103,"ANESTHESIA FOR RECONSTRUCTIVE PROCEDURES OF EYELID (EG, BLEPHAROPLASTY, PTOSIS SURGERY)","ANESTH, BLEPHAROPLASTY"
00104,ANESTHESIA FOR ELECTROCONVULSIVE THERAPY,"ANESTH, ELECTROSHOCK"
00120,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  NOT OTHERWISE SPECIFIED","ANESTH, EAR SURGERY"
00124,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  OTOSCOPY","ANESTH, EAR EXAM"
00126,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  TYMPANOTOMY","ANESTH, TYMPANOTOMY"
00140,ANESTHESIA FOR PROCEDURES ON EYE  NOT OTHERWISE SPECIFIED,"ANESTH, PROCEDURES ON EYE"
00142,ANESTHESIA FOR PROCEDURES ON EYE  LENS SURGERY,"ANESTH, LENS SURGERY"
00144,ANESTHESIA FOR PROCEDURES ON EYE  CORNEAL TRANSPLANT,"ANESTH, CORNEAL TRANSPLANT"
00145,ANESTHESIA FOR PROCEDURES ON EYE  VITREORETINAL SURGERY,"ANESTHES,VITREORETINAL SURGERY"
00147,ANESTHESIA FOR PROCEDURES ON EYE  IRIDECTOMY,"ANESTH, IRIDECTOMY"
00148,ANESTHESIA FOR PROCEDURES ON EYE  OPHTHALMOSCOPY,"ANESTH, EYE EXAM"
00160,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES NOT OTHERWISE SPECIFIED,"ANESTH, NOSE/SINUS SURGERY"
00162,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES RADICAL SURGERY,"ANESTH, NOSE/SINUS SURGERY"
00164,"ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES BIOPSY, SOFT TISSUE","ANESTH, BIOPSY OF NOSE"
00170,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY NOT OTHERWISE SPECIFIED","ANESTH, PROCEDURE ON MOUTH"
00172,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY REPAIR OF CLEFT PALATE","ANESTH, CLEFT PALATE REPAIR"
00174,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY EXCISION OF RETROPHARYNGEAL TUMOR","ANESTH, PHARYNGEAL SURGERY"
00176,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY RADICAL SURGERY","ANESTH, PHARYNGEAL SURGERY"
00190,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL NOT OTHERWISE SPECIFIED,"ANES,FACIAL BONE/SKULL NOS"
00192,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL RADICAL SURGERY (INCLUDING PROGNATHISM),"ANES,FACE BNE/SKULL RADCL SURG"
00210,ANESTHESIA FOR INTRACRANIAL PROCEDURES NOT OTHERWISE SPECIFIED,"ANESTH, OPEN HEAD SURGERY"
00212,ANESTHESIA FOR INTRACRANIAL PROCEDURES SUBDURAL TAPS,"ANESTH, SKULL DRAINAGE"
00214,"ANESTHESIA FOR INTRACRANIAL PROCEDURES BURR HOLES, INCLUDING VENTRICULOGRAPHY","ANESTH, SKULL DRAINAGE"
00215,"ANESTHESIA FOR INTRACRANIAL PROCEDURES CRANIOPLASTY OR ELEVATION OF DEPRESSED SKULL FRACTURE, EXTRADURAL (SIMPLE OR COMPOUND)","ANES INTRACRN CRANIOPLS,XTRADR"
00216,ANESTHESIA FOR INTRACRANIAL PROCEDURES VASCULAR PROCEDURES,"ANESTH, HEAD VESSEL SURGERY"
00218,ANESTHESIA FOR INTRACRANIAL PROCEDURES PROCEDURES IN SITTING POSITION,"ANESTH, SPECIAL HEAD SURGERY"
00220,ANESTHESIA FOR INTRACRANIAL PROCEDURES CEREBROSPINAL FLUID SHUNTING PROCEDURES,"ANESTH, INTRCRN NERVE"
00222,ANESTHESIA FOR INTRACRANIAL PROCEDURES ELECTROCOAGULATION OF INTRACRANIAL NERVE,"ANESTH, HEAD NERVE SURGERY"
00300,"ANESTHESIA FOR ALL PROCEDURES ON THE INTEGUMENTARY SYSTEM, MUSCLES AND NERVES OF HEAD, NECK, AND POSTERIOR TRUNK, NOT OTHERWISE SPECIFIED","ANESTH, HEAD/NECK/PTRUNK"
Q3003,"SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, TECHNETIUM TC99M BICISATE, PER UNIT DOSE","SUP,TECHNET TC 99M BICIS/UN DS"
Q3004,"SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, XENON XE 133, PER 10 MCI","SUPP, XENON XE 133, PER 10 MCI"
Q3005,"SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, TECHNETIUM TC 99M MERTIATIDE, PER MCI","SUP,TECHNET TC 99M MERTIAT/MCI"
Q3006,"SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, TECHNETIUM TC 99M GLUCEPATATE, PER 5 MCI","SUP,TECHN TC 99M GLUCEPA/5 MCI"
Q3007,"SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, SODIUM PHOSPHATE P32, PER MCI","SUPP,SODIUM PHOSPHATE P32/MCI"
Q3008,"SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, INDIUM 111-IN PENTETREOTIDE, PER 3 MCI","SUP,IND 111-IN PENTETREO/3 MCI"
Q3009,"SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, TECHNETIUM TC99M OXIDRONATE, PER MCI","SUP,TECHNET TC 99M OXIDRON/MCI"
Q3010,"SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, TECHNETIUM TC99M - LABELED RED BLOOD CELLS, PER MCI","SUPP,TECHNETIUM TC 99M-RBC/MCI"
Q3011,"SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, CHROMIC PHOSPHATE P32 SUSPENSION, PER MCI","SUP,CHROM PHOSPH P32 SUSPN/MCI"
Q3012,"SUPPLY OF ORAL RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, CYANOCOBALAMIN COBALT CO57, PER 0.5 MCI","SUP,CYANOCOB COBLT CO57/0.5MCI"
Q3014,TELEHEALTH ORIGINATING SITE FACILITY FEE,TELEHEALTH FACILITY FEE
Q3019,"ALS VEHICLE USED, EMERGENCY TRANSPORT, NO ALS LEVEL SERVICES FURNISHED","ALS VEHICLE,EMRGNCY TRANS"
Q3020,"ALS VEHICLE USED, NON-EMERGENCY TRANSPORT, NO ALS LEVEL SERVICE FURNISHED","ALS VEHICLE,NON-EMRGNCY TRNS"
Q3021,"INJECTION, HEPATITIS B VACCINE, PEDIATRIC OR ADOLESCENT, PER DOSE","INJECT,HPATI B, PED,PER DOSE"
Q3022,"INJECTION, HEPATITIS B VACCINE, ADULT, PER DOSE","INJECT,HPATI B, ADULT,PER DOSE"
Q3023,"INJECTION, HEPATITIS B VACCINE, IMMUNOSUPPRESSED PATIENTS (INCLUDING RENAL DIALYSIS PATIENTS), PER DOSE","INJECT,HPATI B,IMMUNONSUPPRESS"
Q3025,"INJECTION, INTERFERON BETA-1A, 11 MCG FOR INTRAMUSCULAR USE","INJECT,BETA-1A,INTRAMUSCUL USE"
Q3026,"INJECTION, INTERFERON BETA-1A, 11 MCG FOR SUBCUTANEOUS USE","INJECT,BETA-1A,SUBCUTANEOU USE"
Q4001,"CASTING SUPPLIES, BODY CAST ADULT, WITH OR WITHOUT HEAD, PLASTER",CAST SUP BODY CAST PLASTER
Q4002,"CAST SUPPLIES, BODY CAST ADULT, WITH OR WITHOUT HEAD, FIBERGLASS",CAST SUP BODY CAST FIBERGLAS
Q4003,"CAST SUPPLIES, SHOULDER CAST, ADULT (11 YEARS +), PLASTER",CAST SUP SHOULDER CAST PLSTR
Q4004,"CAST SUPPLIES, SHOULDER CAST, ADULT (11 YEARS +), FIBERGLASS",CAST SUP SHOULDER CAST FBRGL
Q4005,"CAST SUPPLIES, LONG ARM CAST, ADULT (11 YEARS +), PLASTER",CAST SUP LONG ARM ADULT PLST
Q4006,"CAST SUPPLIES, LONG ARM CAST, ADULT (11 YEARS +), FIBERGLASS",CAST SUP LONG ARM ADULT FBRG
Q4007,"CAST SUPPLIES, LONG ARM CAST, PEDIATRIC (0-10 YEARS), PLASTER",CAST SUP LONG ARM PED PLSTER
Q4008,"CAST SUPPLIES, LONG ARM CAST, PEDIATRIC (0-10 YEARS), FIBERGLASS",CAST SUP LONG ARM PED FBRGLS
Q4009,"CAST SUPPLIES, SHORT ARM CAST, ADULT (11 YEARS +), PLASTER",CAST SUP SHT ARM ADULT PLSTR
Q4010,"CAST SUPPLIES, SHORT ARM CAST, ADULT (11 YEARS +), FIBERGLASS",CAST SUP SHT ARM ADULT FBRGL
Q4011,"CAST SUPPLIES, SHORT ARM CAST, PEDIATRIC (0-10 YEARS), PLASTER",CAST SUP SHT ARM PED PLASTER
Q4012,"CAST SUPPLIES, SHORT ARM CAST, PEDIATRIC (0-10 YEARS), FIBERGLASS",CAST SUP SHT ARM PED FBRGLAS
Q4013,"CAST SUPPLIES, GAUNTLET CAST (INCLUDES LOWER FOREARM AND HAND), ADULT (11 YEARS +), PLASTER",CAST SUP GAUNTLET PLASTER
Q4014,"CAST SUPPLIES, GAUNTLET CAST (INCLUDES LOWER FOREARM AND HAND), ADULT (11 YEARS +), FIBERGLASS",CAST SUP GAUNTLET FIBERGLASS
Q4015,"CAST SUPPLIES, GAUNTLET CAST (INCLUDES LOWER FOREARM AND HAND), PEDIATRIC (0-10 YEARS), PLASTER",CAST SUP GAUNTLET PED PLSTER
Q4016,"CAST SUPPLIES, GAUNTLET CAST (INCLUDES LOWER FOREARM AND HAND), PEDIATRIC (0-10 YEARS), FIBERGLASS",CAST SUP GAUNTLET PED FBRGLS
Q4017,"CAST SUPPLIES, LONG ARM SPLINT, ADULT (11 YEARS +), PLASTER",CAST SUP LNG ARM SPLINT PLST
Q4018,"CAST SUPPLIES, LONG ARM SPLINT, ADULT (11 YEARS +), FIBERGLASS",CAST SUP LNG ARM SPLINT FBRG
Q4019,"CAST SUPPLIES, LONG ARM SPLINT, PEDIATRIC (0-10 YEARS), PLASTER",CAST SUP LNG ARM SPLNT PED P
Q4020,"CAST SUPPLIES, LONG ARM SPLINT, PEDIATRIC (0-10 YEARS), FIBERGLASS",CAST SUP LNG ARM SPLNT PED F
Q4021,"CAST SUPPLIES, SHORT ARM SPLINT, ADULT (11 YEARS +), PLASTER",CAST SUP SHT ARM SPLINT PLST
Q4022,"CAST SUPPLIES, SHORT ARM SPLINT, ADULT (11 YEARS +), FIBERGLASS",CAST SUP SHT ARM SPLINT FBRG
Q4023,"CAST SUPPLIES, SHORT ARM SPLINT, PEDIATRIC (0-10 YEARS), PLASTER",CAST SUP SHT ARM SPLNT PED P
Q4024,"CAST SUPPLIES, SHORT ARM SPLINT, PEDIATRIC (0-10 YEARS), FIBERGLASS",CAST SUP SHT ARM SPLNT PED F
Q4025,"CAST SUPPLIES, HIP SPICA (ONE OR BOTH LEGS), ADULT (11 YEARS +), PLASTER",CAST SUP HIP SPICA PLASTER
Q4026,"CAST SUPPLIES, HIP SPICA (ONE OR BOTH LEGS), ADULT (11 YEARS +), FIBERGLASS",CAST SUP HIP SPICA FIBERGLAS
Q4027,"CAST SUPPLIES, HIP SPICA (ONE OR BOTH LEGS), PEDIATRIC (0-10 YEARS), PLASTER",CAST SUP HIP SPICA PED PLSTR
Q4028,"CAST SUPPLIES, HIP SPICA (ONE OR BOTH LEGS), PEDIATRIC (0-10 YEARS), FIBERGLASS",CAST SUP HIP SPICA PED FBRGL
Q4029,"CAST SUPPLIES, LONG LEG CAST, ADULT (11 YEARS +), PLASTER",CAST SUP LONG LEG PLASTER
Q4030,"CAST SUPPLIES, LONG LEG CAST, ADULT (11 YEARS +), FIBERGLASS",CAST SUP LONG LEG FIBERGLASS
Q4031,"CAST SUPPLIES, LONG LEG CAST, PEDIATRIC (0-10 YEARS), PLASTER",CAST SUP LNG LEG PED PLASTER
Q4032,"CAST SUPPLIES, LONG LEG CAST, PEDIATRIC (0-10 YEARS), FIBERGLASS",CAST SUP LNG LEG PED FBRGLS
Q4033,"CAST SUPPLIES, LONG LEG CYLINDER CAST, ADULT (11 YEARS +), PLASTER",CAST SUP LNG LEG CYLINDER PL
Q4034,"CAST SUPPLIES, LONG LEG CYLINDER CAST, ADULT (11 YEARS +), FIBERGLASS",CAST SUP LNG LEG CYLINDER FB
Q4035,"CAST SUPPLIES, LONG LEG CYLINDER CAST, PEDIATRIC (0-10 YEARS), PLASTER",CAST SUP LNGLEG CYLNDR PED P
Q4036,"CAST SUPPLIES, LONG LEG CYLINDER CAST, PEDIATRIC (0-10 YEARS), FIBERGLASS",CAST SUP LNGLEG CYLNDR PED F
Q4037,"CAST SUPPLIES, SHORT LEG CAST, ADULT (11 YEARS +), PLASTER",CAST SUP SHRT LEG PLASTER
Q4038,"CAST SUPPLIES, SHORT LEG CAST, ADULT (11 YEARS +), FIBERGLASS",CAST SUP SHRT LEG FIBERGLASS
Q4039,"CAST SUPPLIES, SHORT LEG CAST, PEDIATRIC (0-10 YEARS), PLASTER",CAST SUP SHRT LEG PED PLSTER
Q4040,"CAST SUPPLIES, SHORT LEG CAST, PEDIATRIC (0-10 YEARS), FIBERGLASS",CAST SUP SHRT LEG PED FBRGLS
Q4041,"CAST SUPPLIES, LONG LEG SPLINT, ADULT (11 YEARS +), PLASTER",CAST SUP LNG LEG SPLNT PLSTR
Q4042,"CAST SUPPLIES, LONG LEG SPLINT, ADULT (11 YEARS +), FIBERGLASS",CAST SUP LNG LEG SPLNT FBRGL
Q4043,"CAST SUPPLIES, LONG LEG SPLINT, PEDIATRIC (0-10 YEARS), PLASTER",CAST SUP LNG LEG SPLNT PED P
Q4044,"CAST SUPPLIES, LONG LEG SPLINT, PEDIATRIC (0-10 YEARS), FIBERGLASS",CAST SUP LNG LEG SPLNT PED F
Q4045,"CAST SUPPLIES, SHORT LEG SPLINT, ADULT (11 YEARS +), PLASTER",CAST SUP SHT LEG SPLNT PLSTR
Q4046,"CAST SUPPLIES, SHORT LEG SPLINT, ADULT (11 YEARS +), FIBERGLASS",CAST SUP SHT LEG SPLNT FBRGL
Q4047,"CAST SUPPLIES, SHORT LEG SPLINT, PEDIATRIC (0-10 YEARS), PLASTER",CAST SUP SHT LEG SPLNT PED P
Q4048,"CAST SUPPLIES, SHORT LEG SPLINT, PEDIATRIC (0-10 YEARS), FIBERGLASS",CAST SUP SHT LEG SPLNT PED F
Q4049,"FINGER SPLINT, STATIC","FINGER SPLINT, STATIC"
Q4050,"CAST SUPPLIES, FOR UNLISTED TYPES AND MATERIALS OF CASTS",CAST SUPPLIES UNLISTED
Q4051,"SPLINT SUPPLIES, MISCELLANEOUS (INCLUDES THERMOPLASTICS, STRAPPING, FASTENERS, PADDING AND OTHER SUPPLIES)",SPLINT SUPPLIES MISC
Q9920,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 20 OR LESS",EPOETIN WITH HCT <= 20
Q9921,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 21",EPOETIN WITH HCT = 21
Q9922,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 22",EPOETIN WITH HCT = 22
Q9923,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 23",EPOETIN WITH HCT = 23
Q9924,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 24",EPOETIN WITH HCT = 24
Q9925,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 25",EPOETIN WITH HCT = 25
Q9926,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 26",EPOETIN WITH HCT = 26
Q9927,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 27",EPOETIN WITH HCT = 27
Q9928,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 28",EPOETIN WITH HCT = 28
Q9929,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 29",EPOETIN WITH HCT = 29
Q9930,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 30",EPOETIN WITH HCT = 30
Q9931,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 31",EPOETIN WITH HCT = 31
Q9932,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 32",EPOETIN WITH HCT = 32
Q9933,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 33",EPOETIN WITH HCT = 33
Q9934,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 34",EPOETIN WITH HCT = 34
Q9935,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 35",EPOETIN WITH HCT = 35
Q9936,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 36",EPOETIN WITH HCT = 36
Q9937,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 37",EPOETIN WITH HCT = 37,
Q9938,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 38",EPOETIN WITH HCT = 38,
Q9939,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 39",EPOETIN WITH HCT = 39,
Q9940,"INJECTION OF EPO, PER 1000 UNITS, AT PATIENT HCT OF 40 OR ABOVE",EPOETIN WITH HCT >= 40,
R0070,"TRANSPORTATION OF PORTABLE X-RAY EQUIPMENT AND PERSONNEL TO HOME OR NURSING HOME, PER TRIP TO FACILITY OR LOCATION, ONE PATIENT SEEN",TRANSPORT PORTABLE X- RAY,
R0075,"TRANSPORTATION OF PORTABLE X-RAY EQUIPMENT AND PERSONNEL TO HOME OR NURSING HOME, PER TRIP TO FACILITY OR LOCATION, MORE THAN ONE PATIENT SEEN,",TRANSPORT PORT X-RAY MULTIPL,R PATIENT
R0076,"TRANSPORTATION OF PORTABLE EKG TO FACILITY OR LOCATION, PER PATIENT",TRANSPORT PORTABLE EKG,
S0009,"INJECTION, BUTORPHANOL TARTRATE, 1 MG","INJCT,BUTORPHANOL TARTRATE,1MG",
S0012,"BUTORPHANOL TARTRATE, NASAL SPRAY, 25 MG","BUTORPHANOL TARTRATE,NASL,25MG",
S0014,"TACRINE HYDROCHLORIDE, 10 MG","TACRINE HYDROCHLORIDE, 10 MG",
S0016,"INJECTION, AMIKACIN SULFATE, 500 MG","INJECT,AMIKACIN SULFATE,500 MG",
S0017,"INJECTION, AMINOCAPROIC ACID, 5 GRAMS","INJECT,AMINOCAPROIC ACID,5 GMS",
S0020,"INJECTION, BUPIVICAINE HYDROCHLORIDE, 30 ML","INJ,BUPIVICAINE HYDROCHLR,30ML",
S0021,"INJECTION, CEFTOPERAZONE SODIUM, 1 GRAM","INJT,CEFTOPERAZONE SODIUM,1 GM",
S0023,"INJECTION, CIMETIDINE HYDROCHLORIDE, 300 MG","INJ,CIMETIDINE HYDROCHL, 300MG",
S0028,"INJECTION, FAMOTIDINE, 20 MG","INJECTION, FAMOTIDINE, 20 MG",
S0030,"INJECTION, METRONIDAZOLE, 500 MG","INJECTION,METRONIDAZOLE,500 MG"
S0032,"INJECTION, NAFCILLIN SODIUM, 2 GRAMS","INJ, NAFCILLIN SODIUM, 2 GRAMS"
S0034,"INJECTION, OFLOXACIN, 400 MG","INJECTION, OFLOXACIN, 400 MG"
S0039,"INJECTION, SULFAMETHOXAZOLE AND TRIMETHOPRIM, 10 ML","INJ,SULFAMETHOX & TRIMETH,10ML"
S0040,"INJECTION, TICARCILLIN DISODIUM AND CLAVULANATE POTASSIUM, 3.1 GRAMS","INJ,TICAR DIS & CLAV POT,3.1GM"
S0071,"INJECTION, ACYCLOVIR SODIUM, 50 MG","INJECT,ACYCLOVIR SODIUM, 50 MG"
S0072,"INJECTION, AMIKACIN SULFATE, 100 MG","INJECT,AMIKACIN SULFATE,100 MG"
S0073,"INJECTION, AZTREONAM, 500 MG","INJECTION, AZTREONAM, 500 MG"
S0074,"INJECTION, CEFOTETAN DISODIUM, 500 MG","INJ,CEFOTETAN DISODIUM, 500 MG"
S0077,"INJECTION, CLINDAMYCIN PHOSPHATE, 300 MG","INJ,CLINDAMYCIN PHOSPHT,300 MG"
S0078,"INJECTION, FOSPHENYTOIN SODIUM, 750 MG","INJ,FOSPHENYTOIN SODIUM,750 MG"
S0079,"INJECTION, OCTREOTIDE ACETATE, 100 MCG (FOR DOSES OVER 1 MG USE J2352 OR C1207)",OCTREOTIDE 100 MCG
S0080,"INJECTION, PENTAMIDINE ISETHIONATE, 300 MG","INJ,PENTAMIDINE ISETHION,300MG"
S0081,"INJECTION, PIPERACILLIN SODIUM, 500 MG","INJ,PIPERACILLIN SODIUM,500 MG"
S0088,"ALEMTUZUMAB INJECTION, 30 MG","ALEMTUZUMAB INJECTION, 30 MG"
S0090,"SILDENAFIL CITRATE, 25 MG","SILDENAFIL CITRATE, 25 MG"
S0091,"GRAINSETRON HYDROCHLORIDE, 1MG (FOR CIRCUMSTANCES FALLING UNDER THE MEDICARE STATUE, USE Q0166)","GRAINSETRON HYDROCHLORIDE, 1MG"
S0092,"INJECTION, HYROMORPHONE HYDROCHLORIDE, 250MG (LOADING DOSE FOR INFUSION PUMP)","INJECT,HYROMORPHONE, 250MG"
S0093,"INJECTION, MORPHINE SULFATE, 500MG (LOADING DOSE FOR INFUSION PUMP)","INJECT,MORPHINE SULFATE, 500MG"
S0104,"ZIDOVUDINE, ORAL, 100MG","ZIDOVUDINE, ORAL, 100MG"
S0106,"BUPROPION HCL SUSTAINED RELEASE TABLET, 150 MG, PER BOTTLE OF 60 TABLETS",BUPROPION HCL SUSTAIND RELEASE
S0108,"MERCAPTOPURINE, ORAL, 50 MG","MERCAPTOPURINE,ORAL,50 MG"
S0114,"INJECTION, TREPROSTINIL SODIUM, 0.5 MG","INJECT,TREPROSTINIL SODIUM"
S0122,"INJECTION, MENOTROPINS, 75 IU","INJECT,MENOTROPINS,75 IU"
S0124,"INJECTION, UROFOLLITROPIN, PURIFIED, 75 IU","INJECT,UROFOLLITROPIN,PURIFIED"
S0126,"INJECTION, FOLLITROPIN ALFA, 75 IU","INJECT,FOLLITROPIN ALFA, 75 IU"
S0128,"INJECTION, FOLLITROPIN BETA, 75 IU","INJECT,FOLLITROPIN BETA, 75 IU"
S0130,"INJECTION, CHORIONIC GONADOTROPIN, 5000 UNITS","INJECT,CHORIONIC GONADOTROPIN"
S0132,"INJECTION, GANIRELIX ACETATE, 250 MCG","INJECT,GANIREL ACETATE,250 MCG"
S0135,"INJECTION, PEGFILGRASTIM, 6MG","INJECTION, PEGFILGRASTIM, 6MG"
S0155,"STERILE DILUTANT FOR EPOPROSTENOL, 50ML",EPOPROSTENOL DILUTANT
S0156,"EXEMESTANE, 25 MG","EXEMESTANE, 25 MG"
S0157,"BECAPLERMIN GEL 0.01%, 0.5 G","BECAPLERMIN GEL 0.01%, 0.5 GM"
S0170,"ANASTROZOLE, ORAL, 1MG",ANASTROZOLE 1 MG
S0171,"INJECTION, BUMETANIDE, 0.5MG",BUMETANIDE 0.5 MG
S0172,"CHLORAMBUCIL, ORAL, 2MG",CHLORAMBUCIL 2 MG
S0173,"DEXAMETHASONE, ORAL, 4MG",DEXAMETHASONE 4 MG
S0174,"DOLASETRON MESYLATE, ORAL 50MG (FOR CIRCUMSTANCES FALLING UNDER THE MEDICARE STATUTE, USE Q0180)",DOLASETRON 50 MG
S0175,"FLUTAMIDE, ORAL, 125MG",FLUTAMIDE 125 MG
S0176,"HYDROXYUREA, ORAL, 500MG",HYDROXYUREA 500 MG
S0177,"LEVAMISOLE HYDROCHLORIDE, ORAL, 50MG",LEVAMISOLE 50 MG
S0178,"LOMUSTINE, ORAL, 10MG",LOMUSTINE 10 MG
S0179,"MEGESTROL ACETATE, ORAL, 20MG",MEGESTROL 20 MG
S0181,"ONDANSETRON HYDROCHLORIDE, ORAL, 4MG (FOR CIRCUMSTANCES FALLING UNDER THE MEDICARE STATUTE, USE Q0179)",ONDANSETRON 4 MG
S0182,"PROCARBAZINE HYDROCHLORIDE, ORAL, 50MG",PROCARBAZINE 5 MG
S0183,"PROCHLORPERAZINE MALEATE, ORAL, 5MG (FOR CIRCUMSTANCES FALLING UNDER THE MEDICARE STATUTE, USE Q0164 - Q0165)",PROCHLORPERAZINE 5 MG
S0187,"TAMOXIFEN CITRATE, ORAL, 10MG",TAMOXIFEN 10 MG
S0189,"TESTOSTERONE PELLET, 75MG",TESTOSTERONE PELLET 75 MG
S0190,"MIFEPRISTONE, ORAL, 200 MG","MIFEPRISTONE, ORAL, 200 MG",
S0191,"MISOPROSTOL, ORAL, 200 MCG","MISOPROSTOL, ORAL, 200 MCG",
S0195,"PNEUMOCOCCAL CONJUGATE VACCINE, POLYVALENT, INTRAMUSCULAR, FOR CHILDREN FROM FIVE YEARS TO NINE YEARS OF AGE WHO HAVE NOT PREVIOUSLY RECEIVED T","PNEUMOCOCAL CNJGT VACNE,AGE5-9",VACCINE
S0199,MEDICALLY INDUCED ABORTION BY ORAL INGESTION OF MEDICATION INCLUDING ALL ASSOCIATED SERVICES AND SUPPLIES EXCEPT DRUGS,MED ABORTION INC ALL EX DRUG,
S0201,"PARTIAL HOSPITALIZATION SERVICES, LESS THAN 24 HOURS, PER DIEM",PARTIAL HOSPITALIZATION SERV,
S0207,"PARAMEDIC INTERCEPT, NON-HOSPITAL BASED ALS SERVICE (NON-VOLUNTARY), NON-TRANSPORT","PARAMEDIC INTERCPT,NON-HOSPTAL",
S0208,"PARAMEDIC INTERCEPT, HOSPITAL-BASED ALS SERVICE (NON-VOLUNTARY), NON-TRANSPORT",PARAMED INTRCEPT NONVOL,
S0209,"WHEELCHAIR VAN, MILEAGE, PER MILE",WC VAN MILEAGE PER MI,
S0215,"NON-EMERGENCY TRANSPORTATION MILEAGE, PER MILE",NON-EMERG TRANSPORT MILEAGE,
S0220,MEDICAL CONFERENCE BY A PHYSICIAN WITH INTERDISCIPLINARY TEAM OF HEALTH PROFESSIONALS OR REPRESENTATIVES OF COMMUNITY AGENCIES TO COORDINATE AC,"MED CONF,PHYS,INTERDISC APP 30",ITIES OF PATIENT CARE APPROXIMATELY 30 MINUTES
S0221,MEDICAL CONFERENCE BY A PHYSICIAN WITH INTERDISCIPLINARY TEAM OF HEALTH PROFESSIONALS OR REPRESENTATIVES OF COMMUNITY AGENCIES TO COORDINATE AC,"MED CONF,PHYS,INTERDISC APP 60",ITIES OF PATIENT CARE APPROXIMATELY 60 MINUTES
S0250,COMPREHENSIVE GERIATRIC ASSESSMENT AND TREATMENT PLANNING PERFORMED BY ASSESSMENT TEAM,COMP GERIATR ASSMT TEAM,
S0255,"HOSPICE REFERRAL VISIT (ADVISING PATIENT AND FAMILY OF CARE OPTIONS) PERFORMED BY NURSE, SOCIAL WORKER, OR OTHER DESIGNATED STAFF",HOSPICE REFER VISIT NONMD,
